Date,Democrats (D),Poll,Republicans (R),Sample,Spread,Year
10/29 - 11/1,52,ABC News/Wash Post,44,737 LV,Democrats +8,2018
10/28 - 10/30,47,Economist/YouGov,42,1296 RV,Democrats +5,2018
10/28 - 10/29,52,NPR/PBS/Marist,43,509 LV,Democrats +9,2018
10/26 - 10/28,47,Harvard-Harris,38,1835 RV,Democrats +9,2018
10/24 - 10/30,49,Reuters/Ipsos,42,1383 LV,Democrats +7,2018
10/21 - 10/25,47,Rasmussen Reports,44,2500 LV,Democrats +3,2018
10/18 - 10/22,51,USA Today/Suffolk,43,1000 LV,Democrats +8,2018
10/14 - 10/17,50,NBC News/Wall St. Jrnl,41,645 LV,Democrats +9,2018
10/13 - 10/16,49,FOX News,42,841 LV,Democrats +7,2018
10/21 - 10/23,47,Economist/YouGov,41,1233 RV,Democrats +6,2018
10/21 - 10/23,50,NPR/PBS/Marist,40,738 RV,Democrats +10,2018
10/17 - 10/23,49,Reuters/Ipsos,42,2062 LV,Democrats +7,2018
10/14 - 10/18,47,Rasmussen Reports,44,2500 LV,Democrats +3,2018
10/14 - 10/16,46,Economist/YouGov,41,1273 RV,Democrats +5,2018
10/10 - 10/16,51,Reuters/Ipsos,40,1194 LV,Democrats +11,2018
10/8 - 10/11,53,ABC News/Wash Post,42,991 RV,Democrats +11,2018
10/7 - 10/11,45,Rasmussen Reports,44,2500 LV,Democrats +1,2018
10/7 - 10/9,47,Economist/YouGov,41,1162 RV,Democrats +6,2018
10/3 - 10/9,50,Reuters/Ipsos,38,2012 LV,Democrats +12,2018
10/4 - 10/7,42,CNBC,36,800 A,Democrats +6,2018
10/4 - 10/7,54,CNN,41,739 LV,Democrats +13,2018
10/1 - 10/4,50,Emerson,42,1000 RV,Democrats +8,2018
9/30 - 10/4,45,Rasmussen Reports,45,2500 LV,Tie ,2018
9/30 - 10/2,45,Economist/YouGov,40,1227 RV,Democrats +5,2018
10/1 - 10/1,48,NPR/PBS/Marist,42,996 RV,Democrats +6,2018
9/27 - 10/3,45,IBD/TIPP,43,846 RV,Democrats +2,2018
9/26 - 10/2,50,Reuters/Ipsos,38,1840 LV,Democrats +12,2018
9/29 - 9/30,45,Harvard-Harris,37,1330 RV,Democrats +8,2018
9/27 - 9/30,49,Quinnipiac,42,1111 RV,Democrats +7,2018
9/23 - 9/27,47,Rasmussen Reports,42,2500 LV,Democrats +5,2018
9/26 - 9/27,45,Harvard-Harris,36,1228 RV,Democrats +9,2018
9/23 - 9/25,46,Economist/YouGov,38,1238 RV,Democrats +8,2018
9/22 - 9/24,48,NPR/PBS/Marist,41,802 RV,Democrats +7,2018
9/19 - 9/25,48,Reuters/Ipsos,41,1425 LV,Democrats +7,2018
9/18 - 9/24,52,Pew Research,42,1439 RV,Democrats +10,2018
9/17 - 9/23,51,Gallup,42,1308 RV,Democrats +9,2018
9/16 - 9/20,46,Rasmussen Reports,43,2500 LV,Democrats +3,2018
9/16 - 9/19,49,FOX News,42,818 LV,Democrats +7,2018
9/16 - 9/19,51,NBC News/Wall St. Jrnl,43,594 LV,Democrats +8,2018
9/16 - 9/18,45,Economist/YouGov,41,1195 RV,Democrats +4,2018
9/12 - 9/18,48,Reuters/Ipsos,41,1304 LV,Democrats +7,2018
9/9 - 9/13,47,Rasmussen Reports,42,2500 LV,Democrats +5,2018
9/9 - 9/11,44,Economist/YouGov,41,1220 RV,Democrats +3,2018
9/5 - 9/11,49,Reuters/Ipsos,41,1226 LV,Democrats +8,2018
9/6 - 9/9,52,Quinnipiac,38,1038 RV,Democrats +14,2018
9/6 - 9/9,52,CNN,42,775 LV,Democrats +10,2018
9/5 - 9/9,50,NPR/Marist,38,777 RV,Democrats +12,2018
9/2 - 9/6,46,Rasmussen Reports,42,2500 LV,Democrats +4,2018
9/2 - 9/4,45,Economist/YouGov,40,1254 RV,Democrats +5,2018
8/29 - 9/4,44,Reuters/Ipsos,35,2012 RV,Democrats +9,2018
8/29 - 9/2,45,Grinnell/Selzer,43,779 LV,Democrats +2,2018
8/29 - 8/31,52,Emerson,39,1000 RV,Democrats +13,2018
8/26 - 8/30,46,Rasmussen Reports,42,2500 LV,Democrats +4,2018
8/26 - 8/29,52,ABC News/Wash Post,38,879 RV,Democrats +14,2018
8/26 - 8/28,45,Economist/YouGov,39,1249 RV,Democrats +6,2018
8/23 - 8/28,50,USA Today/Suffolk,39,1000 RV,Democrats +11,2018
8/23 - 8/30,50,IBD/TIPP,39,857 RV,Democrats +11,2018
8/22 - 8/28,47,Reuters/Ipsos,34,2920 RV,Democrats +13,2018
8/22 - 8/23,45,Harvard-Harris,37,1330 RV,Democrats +8,2018
8/19 - 8/23,46,Rasmussen Reports,41,2500 LV,Democrats +5,2018
8/18 - 8/22,50,NBC News/Wall St. Jrnl,42,900 RV,Democrats +8,2018
8/19 - 8/21,44,Economist/YouGov,38,1247 RV,Democrats +6,2018
8/19 - 8/21,49,FOX News,38,1009 RV,Democrats +11,2018
8/15 - 8/21,41,Reuters/Ipsos,37,1885 RV,Democrats +4,2018
8/15 - 8/19,48,Monmouth,43,725 RV,Democrats +5,2018
8/12 - 8/16,44,Rasmussen Reports,44,2500 LV,Tie ,2018
8/12 - 8/14,44,Economist/YouGov,40,1250 RV,Democrats +4,2018
8/8 - 8/14,45,Reuters/Ipsos,36,1860 RV,Democrats +9,2018
8/9 - 8/13,51,Quinnipiac,42,1175 RV,Democrats +9,2018
8/9 - 8/12,52,CNN,41,921 RV,Democrats +11,2018
7/30 - 8/12,46,Pew Research,39,3986 RV,Democrats +7,2018
8/5 - 8/9,48,Rasmussen Reports,41,2500 LV,Democrats +7,2018
8/5 - 8/7,44,Economist/YouGov,41,1289 RV,Democrats +3,2018
8/3 - 8/7,41,Reuters/Ipsos,39,1479 RV,Democrats +2,2018
7/29 - 8/2,45,Rasmussen Reports,41,2500 LV,Democrats +4,2018
7/26 - 8/2,45,IBD/TIPP,45,878 RV,Tie ,2018
7/29 - 7/31,44,Economist/YouGov,40,1222 RV,Democrats +4,2018
7/27 - 7/31,42,Reuters/Ipsos,36,1571 RV,Democrats +6,2018
7/22 - 7/26,46,Rasmussen Reports,40,2500 LV,Democrats +6,2018
7/24 - 7/25,43,Harvard-Harris,36,1323 RV,Democrats +7,2018
7/22 - 7/24,44,Economist/YouGov,38,1203 RV,Democrats +6,2018
7/20 - 7/24,42,Reuters/Ipsos,37,1165 RV,Democrats +5,2018
7/19 - 7/22,47,NPR/PBS/Marist,40,923 RV,Democrats +7,2018
7/18 - 7/23,51,Quinnipiac,39,1177 RV,Democrats +12,2018
7/15 - 7/19,47,Rasmussen Reports,40,2500 LV,Democrats +7,2018
7/15 - 7/18,49,NBC News/Wall St. Jrnl,43,900 RV,Democrats +6,2018
7/15 - 7/17,45,Economist/YouGov,37,1272 RV,Democrats +8,2018
7/8 - 7/12,46,Rasmussen Reports,41,2500 LV,Democrats +5,2018
7/13 - 7/17,44,Reuters/Ipsos,35,2357 RV,Democrats +9,2018
7/9 - 7/11,48,FOX News,40,1007 RV,Democrats +8,2018
7/8 - 7/10,42,Economist/YouGov,38,1246 RV,Democrats +4,2018
7/6 - 7/10,47,Reuters/Ipsos,34,1295 RV,Democrats +13,2018
7/6 - 7/7,49,Emerson,42,900 RV,Democrats +7,2018
7/1 - 7/5,48,Rasmussen Reports,40,2500 LV,Democrats +8,2018
7/1 - 7/3,42,Economist/YouGov,38,1263 RV,Democrats +4,2018
6/24 - 6/28,46,Rasmussen Reports,40,2500 LV,Democrats +6,2018
6/28 - 7/2,44,Reuters/Ipsos,34,2252 RV,Democrats +10,2018
6/27 - 7/1,50,Quinnipiac,41,1020 RV,Democrats +9,2018
6/24 - 6/25,45,Harvard-Harris,36,1448 RV,Democrats +9,2018
6/21 - 6/29,48,IBD/TIPP,40,900 A,Democrats +8,2018
6/24 - 6/26,43,Economist/YouGov,38,1278 RV,Democrats +5,2018
6/22 - 6/26,41,Reuters/Ipsos,38,1199 RV,Democrats +3,2018
6/17 - 6/21,45,Rasmussen Reports,41,2500 LV,Democrats +4,2018
6/17 - 6/19,44,Economist/YouGov,37,1272 RV,Democrats +7,2018
6/15 - 6/19,42,Reuters/Ipsos,36,1604 RV,Democrats +6,2018
6/13 - 6/18,45,USA Today/Suffolk,39,1000 RV,Democrats +6,2018
6/14 - 6/17,49,Quinnipiac,43,905 RV,Democrats +6,2018
6/14 - 6/17,50,CNN,42,901 RV,Democrats +8,2018
6/11 - 6/17,48,Gallup,43,1346 RV,Democrats +5,2018
6/12 - 6/13,48,Monmouth,41,711 RV,Democrats +7,2018
6/10 - 6/14,45,Rasmussen Reports,41,2500 LV,Democrats +4,2018
6/10 - 6/12,43,Economist/YouGov,37,1308 RV,Democrats +6,2018
6/8 - 6/12,45,Reuters/Ipsos,35,2018 RV,Democrats +10,2018
6/8 - 6/10,46,PPP (D),40,679 RV,Democrats +6,2018
6/5 - 6/12,48,Pew Research,43,1608 RV,Democrats +5,2018
6/3 - 6/7,44,Rasmussen Reports,40,2500 LV,Democrats +4,2018
6/3 - 6/6,48,FOX News,39,1001 RV,Democrats +9,2018
6/3 - 6/5,44,Economist/YouGov,38,1292 RV,Democrats +6,2018
6/1 - 6/5,43,Reuters/Ipsos,32,1265 RV,Democrats +11,2018
6/1 - 6/4,50,NBC News/Wall St. Jrnl,40,900 RV,Democrats +10,2018
5/31 - 6/5,47,Quinnipiac,40,1223 RV,Democrats +7,2018
5/29 - 6/5,47,IBD/TIPP,40,905 A,Democrats +7,2018
5/27 - 5/31,45,Rasmussen Reports,41,2500 LV,Democrats +4,2018
5/27 - 5/29,42,Economist/YouGov,39,1279 RV,Democrats +3,2018
5/25 - 5/29,39,Reuters/Ipsos,37,1931 RV,Democrats +2,2018
5/21 - 5/25,43,Rasmussen Reports,42,2500 LV,Democrats +1,2018
5/21 - 5/22,44,Harvard-Harris,37,1347 RV,Democrats +7,2018
5/20 - 5/22,43,Economist/YouGov,38,1263 RV,Democrats +5,2018
5/18 - 5/22,40,Reuters/Ipsos,37,1080 RV,Democrats +3,2018
5/13 - 5/17,43,Rasmussen Reports,42,2500 LV,Democrats +1,2018
5/13 - 5/15,42,Economist/YouGov,37,1231 RV,Democrats +5,2018
5/11 - 5/15,38,Reuters/Ipsos,37,1290 RV,Democrats +1,2018
5/6 - 5/10,46,Rasmussen Reports,40,2500 LV,Democrats +6,2018
5/2 - 5/5,47,CNN,44,901 RV,Democrats +3,2018
5/6 - 5/8,44,Economist/YouGov,35,1232 RV,Democrats +9,2018
5/4 - 5/8,39,Reuters/Ipsos,38,1171 RV,Democrats +1,2018
4/29 - 5/1,42,Economist/YouGov,39,1273 RV,Democrats +3,2018
4/27 - 5/1,43,Reuters/Ipsos,37,1337 RV,Democrats +6,2018
4/25 - 5/1,48,Pew Research,43,1221 RV,Democrats +5,2018
4/26 - 4/30,49,Monmouth,41,681 RV,Democrats +8,2018
4/22 - 4/24,43,Harvard-Harris,34,1549 RV,Democrats +9,2018
4/22 - 4/24,43,Economist/YouGov,38,1270 RV,Democrats +5,2018
4/20 - 4/24,48,Quinnipiac,40,1193 RV,Democrats +8,2018
4/20 - 4/24,45,Reuters/Ipsos,34,1248 RV,Democrats +11,2018
4/15 - 4/17,43,Economist/YouGov,38,1274 RV,Democrats +5,2018
4/10 - 4/13,44,NPR/PBS/Marist,39,827 RV,Democrats +5,2018
4/13 - 4/17,44,Reuters/Ipsos,34,1238 RV,Democrats +10,2018
4/8 - 4/11,47,ABC News/Wash Post,43,865 RV,Democrats +4,2018
4/8 - 4/11,47,NBC News/Wall St. Jrnl,40,900 A,Democrats +7,2018
4/8 - 4/10,44,Economist/YouGov,36,1292 RV,Democrats +8,2018
4/8 - 4/9,45,Rasmussen Reports,40,1000 LV,Democrats +5,2018
4/6 - 4/9,46,Quinnipiac,43,1181 RV,Democrats +3,2018
4/6 - 4/10,44,Reuters/Ipsos,34,1219 RV,Democrats +10,2018
4/1 - 4/3,43,Economist/YouGov,36,1246 RV,Democrats +7,2018
3/30 - 4/3,43,Reuters/Ipsos,34,1519 RV,Democrats +9,2018
3/27 - 3/29,45,Harvard-Harris,34,1340 RV,Democrats +11,2018
3/23 - 3/27,42,Reuters/Ipsos,35,1392 RV,Democrats +7,2018
3/25 - 3/27,42,Economist/YouGov,35,1330 RV,Democrats +7,2018
3/22 - 3/25,50,CNN,44,913 RV,Democrats +6,2018
3/23 - 3/25,50,PPP (D),39,846 RV,Democrats +11,2018
3/19 - 3/21,44,Marist,39,1015 RV,Democrats +5,2018
3/18 - 3/21,46,FOX News,41,1014 RV,Democrats +5,2018
3/18 - 3/20,44,Economist/YouGov,38,1284 RV,Democrats +6,2018
3/16 - 3/20,49,Quinnipiac,43,1291 RV,Democrats +6,2018
3/16 - 3/20,40,Reuters/Ipsos,37,1337 RV,Democrats +3,2018
3/10 - 3/14,50,NBC News/Wall St. Jrnl,40,930 RV,Democrats +10,2018
3/10 - 3/13,43,Economist/YouGov,38,1291 RV,Democrats +5,2018
3/9 - 3/13,38,Reuters/Ipsos,30,1411 A,Democrats +8,2018
3/4 - 3/8,49,GWU/Battleground,40,1000 RV,Democrats +9,2018
3/4 - 3/6,43,Economist/YouGov,37,1310 RV,Democrats +6,2018
3/2 - 3/6,38,Reuters/Ipsos,31,2927 A,Democrats +7,2018
3/3 - 3/5,48,Quinnipiac,38,1122 RV,Democrats +10,2018
3/2 - 3/5,50,Monmouth,41,708 RV,Democrats +9,2018
3/1 - 3/4,46,Rasmussen Reports,40,1000 LV,Democrats +6,2018
2/25 - 2/27,40,Economist/YouGov,38,1296 RV,Democrats +2,2018
2/23 - 2/27,37,Reuters/Ipsos,31,1651 A,Democrats +6,2018
2/20 - 2/24,47,USA Today/Suffolk,32,1000 RV,Democrats +15,2018
2/20 - 2/23,54,CNN,38,909 RV,Democrats +16,2018
2/20 - 2/21,46,Marist,39,819 RV,Democrats +7,2018
2/18 - 2/20,43,Economist/YouGov,35,1308 RV,Democrats +8,2018
2/16 - 2/20,38,Reuters/Ipsos,30,1104 A,Democrats +8,2018
2/16 - 2/19,41,Harvard-Harris,36,1934 RV,Democrats +5,2018
2/16 - 2/19,53,Quinnipiac,38,1249 RV,Democrats +15,2018
2/11 - 2/13,42,Economist/YouGov,38,1280 RV,Democrats +4,2018
2/9 - 2/13,39,Reuters/Ipsos,30,1515 A,Democrats +9,2018
2/9 - 2/11,49,PPP (D),41,687 RV,Democrats +8,2018
2/5 - 2/7,49,Marist,38,807 RV,Democrats +11,2018
2/4 - 2/6,43,Economist/YouGov,37,1320 RV,Democrats +6,2018
2/2 - 2/6,38,Reuters/Ipsos,31,3110 A,Democrats +7,2018
2/2 - 2/5,49,Quinnipiac,40,1333 RV,Democrats +9,2018
1/25 - 2/2,46,IBD/TIPP,41,832 RV,Democrats +5,2018
1/28 - 1/30,47,Monmouth,45,711 RV,Democrats +2,2018
1/28 - 1/30,42,Economist/YouGov,37,1264 RV,Democrats +5,2018
1/26 - 1/30,37,Reuters/Ipsos,31,1856 A,Democrats +6,2018
1/24 - 1/25,45,Rasmussen Reports,37,1000 LV,Democrats +8,2018
1/21 - 1/23,44,FOX News,38,1002 RV,Democrats +6,2018
1/21 - 1/23,41,Economist/YouGov,37,1301 RV,Democrats +4,2018
1/19 - 1/23,51,Quinnipiac,38,1245 RV,Democrats +13,2018
1/19 - 1/23,38,Reuters/Ipsos,30,2981 A,Democrats +8,2018
1/15 - 1/18,51,ABC News/Wash Post,39,846 RV,Democrats +12,2018
1/14 - 1/18,49,CNN,44,RV,Democrats +5,2018
1/13 - 1/17,49,NBC News/Wall St. Jrnl,43,765 RV,Democrats +6,2018
1/14 - 1/16,42,Economist/YouGov,36,1311 RV,Democrats +6,2018
1/12 - 1/16,37,Reuters/Ipsos,32,1638 A,Democrats +5,2018
1/12 - 1/16,50,Quinnipiac,39,1212 RV,Democrats +11,2018
1/10 - 1/15,53,Pew Research,39,1215 RV,Democrats +14,2018
1/8 - 1/10,46,NPR/PBS/Marist,40,1092 RV,Democrats +6,2018
1/8 - 1/11,45,Emerson,40,600 RV,Democrats +5,2018
1/8 - 1/9,44,Economist/YouGov,37,1327 RV,Democrats +7,2018
1/5 - 1/9,52,Quinnipiac,35,1106 RV,Democrats +17,2018
1/5 - 1/9,40,Reuters/Ipsos,31,1616 A,Democrats +9,2018
12/31 - 1/2,42,Economist/YouGov,36,1277 RV,Democrats +6,2018
12/29 - 1/2,38,Reuters/Ipsos,31,1770 A,Democrats +7,2018
12/24 - 12/26,44,Economist/YouGov,36,1004 RV,Democrats +8,2017
12/17 - 12/19,44,Economist/YouGov,35,1291 RV,Democrats +9,2017
12/15 - 12/19,39,Reuters/Ipsos,27,2492 A,Democrats +12,2017
12/13 - 12/18,52,Quinnipiac,37,1230 RV,Democrats +15,2017
12/14 - 12/17,56,CNN,38,898 RV,Democrats +18,2017
12/13 - 12/15,50,NBC News/Wall St. Jrnl,39,736 RV,Democrats +11,2017
12/11 - 12/12,51,PPP (D),40,862 RV,Democrats +11,2017
12/10 - 12/12,44,Economist/YouGov,36,1338 RV,Democrats +8,2017
12/10 - 12/12,51,Monmouth,36,702 RV,Democrats +15,2017
12/8 - 12/12,37,Reuters/Ipsos,29,1457 A,Democrats +8,2017
12/6 - 12/11,49,Quinnipiac,37,1211 RV,Democrats +12,2017
12/4 - 12/7,50,Marist,37,1079 RV,Democrats +13,2017
12/3 - 12/5,42,Economist/YouGov,36,1341 RV,Democrats +6,2017
12/1 - 12/5,37,Reuters/Ipsos,31,1548 A,Democrats +6,2017
11/29 - 12/4,50,Quinnipiac,36,1508 RV,Democrats +14,2017
11/26 - 11/28,41,Economist/YouGov,35,1319 RV,Democrats +6,2017
11/24 - 11/28,36,Reuters/Ipsos,30,1969 A,Democrats +6,2017
11/19 - 11/21,42,Economist/YouGov,33,1344 RV,Democrats +9,2017
11/17 - 11/22,37,Reuters/Ipsos,28,1489 A,Democrats +9,2017
11/13 - 11/15,43,NPR/PBS/Marist,40,802 RV,Democrats +3,2017
11/12 - 11/14,42,Economist/YouGov,34,1281 RV,Democrats +8,2017
11/10 - 11/14,38,Reuters/Ipsos,31,1520 A,Democrats +7,2017
11/7 - 11/13,51,Quinnipiac,38,1577 RV,Democrats +13,2017
11/6 - 11/9,51,Marist,36,850 RV,Democrats +15,2017
11/5 - 11/7,40,Economist/YouGov,33,1336 RV,Democrats +7,2017
11/3 - 11/7,38,Reuters/Ipsos,30,1572 A,Democrats +8,2017
10/29 - 11/1,51,ABC News/Wash Post,40,884 RV,Democrats +11,2017
10/29 - 10/31,39,Economist/YouGov,36,1291 RV,Democrats +3,2017
10/27 - 10/31,40,Reuters/Ipsos,31,1798 A,Democrats +9,2017
10/27 - 10/29,50,PPP (D),40,572 RV,Democrats +10,2017
10/23 - 10/26,48,NBC News/Wall St. Jrnl,41,753 RV,Democrats +7,2017
10/22 - 10/24,40,Economist/YouGov,33,1312 RV,Democrats +7,2017
10/22 - 10/24,50,FOX News,35,1005 RV,Democrats +15,2017
10/20 - 10/24,36,Reuters/Ipsos,28,2352 A,Democrats +8,2017
10/15 - 10/16,41,Economist/YouGov,33,1326 RV,Democrats +8,2017
10/12 - 10/15,54,CNN,38,RV,Democrats +16,2017
10/7 - 10/10,40,Economist/YouGov,33,1278 RV,Democrats +7,2017
10/5 - 10/10,49,Quinnipiac,41,1482 RV,Democrats +8,2017
10/1 - 10/3,39,Economist/YouGov,32,1298 RV,Democrats +7,2017
9/24 - 9/26,40,Economist/YouGov,34,1254 RV,Democrats +6,2017
9/21 - 9/26,47,Quinnipiac,38,1412 RV,Democrats +9,2017
9/22 - 9/25,48,PPP (D),37,865 RV,Democrats +11,2017
9/17 - 9/19,39,Economist/YouGov,33,1292 RV,Democrats +6,2017
9/14 - 9/18,48,NBC News/Wall St. Jrnl,42,751 RV,Democrats +6,2017
9/10 - 9/12,40,Economist/YouGov,31,1313 RV,Democrats +9,2017
9/3 - 9/5,39,Economist/YouGov,33,1309 RV,Democrats +6,2017
8/27 - 8/29,40,Economist/YouGov,32,1278 RV,Democrats +8,2017
8/20 - 8/22,39,Economist/YouGov,33,1327 RV,Democrats +6,2017
8/17 - 8/22,50,Quinnipiac,38,1514 RV,Democrats +12,2017
8/18 - 8/21,49,PPP (D),35,887 RV,Democrats +14,2017
8/13 - 8/17,45,GWU/Battleground,38,1000 RV,Democrats +7,2017
8/13 - 8/15,41,Economist/YouGov,33,1291 RV,Democrats +8,2017
8/9 - 8/15,50,Quinnipiac,40,1361 RV,Democrats +10,2017
8/8 - 8/12,47,Marist,40,883 RV,Democrats +7,2017
8/6 - 8/8,39,Economist/YouGov,34,1303 RV,Democrats +5,2017
8/3 - 8/6,51,CNN,42,RV,Democrats +9,2017
7/31 - 8/1,39,Economist/YouGov,34,1329 RV,Democrats +5,2017
7/27 - 8/1,52,Quinnipiac,38,1125 RV,Democrats +14,2017
7/23 - 7/25,40,Economist/YouGov,34,1282 RV,Democrats +6,2017
7/15 - 7/18,40,Economist/YouGov,34,1273 RV,Democrats +6,2017
7/10 - 7/13,52,ABC News/Wash Post,38,RV,Democrats +14,2017
7/9 - 7/11,39,Economist/YouGov,32,1284 RV,Democrats +7,2017
7/3 - 7/4,37,Economist/YouGov,35,1323 RV,Democrats +2,2017
6/25 - 6/27,47,FOX News,41,1017 RV,Democrats +6,2017
6/25 - 6/27,41,Economist/YouGov,35,1295 RV,Democrats +6,2017
6/22 - 6/27,51,Quinnipiac,41,1212 RV,Democrats +10,2017
6/21 - 6/25,48,NPR/PBS/Marist,38,995 RV,Democrats +10,2017
6/18 - 6/20,38,Economist/YouGov,35,1277 RV,Democrats +3,2017
6/17 - 6/20,50,NBC News/Wall St. Jrnl,42,765 RV,Democrats +8,2017
6/11 - 6/13,38,Economist/YouGov,36,1310 RV,Democrats +2,2017
6/9 - 6/11,50,PPP (D),40,811 RV,Democrats +10,2017
6/4 - 6/6,41,Economist/YouGov,37,1288 RV,Democrats +4,2017
5/31 - 6/6,51,Quinnipiac,39,1361 RV,Democrats +12,2017
5/27 - 5/30,39,Economist/YouGov,33,1269 RV,Democrats +6,2017
5/4 - 5/9,54,Quinnipiac,38,1078 RV,Democrats +16,2017
5/20 - 5/23,38,Economist/YouGov,36,1276 RV,Democrats +2,2017
5/13 - 5/16,40,Economist/YouGov,33,1298 RV,Democrats +7,2017
5/12 - 5/14,49,PPP (D),38,692 RV,Democrats +11,2017
5/6 - 5/9,40,Economist/YouGov,35,1287 RV,Democrats +5,2017
4/29 - 5/2,38,Economist/YouGov,35,1255 RV,Democrats +3,2017
4/23 - 4/25,47,FOX News,42,1009 RV,Democrats +5,2017
4/23 - 4/25,39,Economist/YouGov,34,1289 RV,Democrats +5,2017
4/22 - 4/25,49,CNN/ORC,41,RV,Democrats +8,2017
4/17 - 4/20,47,NBC News/Wall St. Jrnl,43,759 RV,Democrats +4,2017
4/17 - 4/18,47,PPP (D),41,648 RV,Democrats +6,2017
4/15 - 4/18,38,Economist/YouGov,32,1291 RV,Democrats +6,2017
4/11 - 4/12,45,Marist,38,869 RV,Democrats +7,2017
3/27 - 3/28,48,PPP (D),43,677 RV,Democrats +5,2017
3/22 - 3/27,47,McClatchy/Marist,38,906 RV,Democrats +9,2017
3/10 - 3/12,46,PPP (D),41,808 RV,Democrats +5,2017
2/21 - 2/22,46,PPP (D),43,941 RV,Democrats +3,2017
1/23 - 1/24,48,PPP (D),40,1043 RV,Democrats +8,2017
